"","Z.sim","Estimator.type","Z.est"
"1016",0.806900164912375,"cross sectional",0.697550046553489
"1116",0.908273032971018,"cross sectional",0.72234713151739
"1216",0.716443257550717,"cross sectional",0.729259331392687
"1316",0.808019568430795,"cross sectional",0.742867597947879
"1416",0.767701525426723,"cross sectional",0.794824579940809
"1516",0.94935133607542,"cross sectional",0.862836801370529
"817",0.674884396151056,"survival analysis",0.6676651488331
"917",0.863291387846984,"survival analysis",0.85709807818231
"1017",0.806900164912375,"survival analysis",0.800399786606552
"1117",0.908273032971018,"survival analysis",0.902324663066933
"1217",0.716443257550717,"survival analysis",0.709450311817185
"1317",0.808019568430795,"survival analysis",0.801525285643022
"1417",0.767701525426723,"survival analysis",0.760987697716269
"1517",0.94935133607542,"survival analysis",0.943626650958765
"818",0.949893593732416,"cross sectional",0.792647407985123
"918",1.06038507652309,"cross sectional",0.767764351596543
"1018",0.807471883798702,"cross sectional",0.925160796892916
"1118",0.826555601131001,"cross sectional",0.851600441751088
"1218",0.990901552235192,"cross sectional",0.887891466587719
"1318",0.876518294134814,"cross sectional",0.922831930671813
"1418",0.937039388635988,"cross sectional",0.963282300102255
"1518",1.09553236011138,"cross sectional",0.862897711132457
"819",0.949893593732416,"survival analysis",0.957012893859787
"919",1.06038507652309,"survival analysis",1.08562971345865
"1019",0.807471883798702,"survival analysis",0.791227921924798
"1119",0.826555601131001,"survival analysis",0.813442186476339
"1219",0.990901552235192,"survival analysis",1.00474791440306
"1319",0.876518294134814,"survival analysis",0.871600901613861
"1419",0.937039388635988,"survival analysis",0.942050048432992
"1519",1.09553236011138,"survival analysis",1.12654265732085
"820",0.626422295504348,"cross sectional",0.799938979877907
"920",0.740154991034738,"cross sectional",0.985334663786739
"1020",0.623278152134805,"cross sectional",0.805869045594514
"1120",0.808826128998591,"cross sectional",0.805453690671134
"1220",0.911916810023944,"cross sectional",0.691340795594634
"1320",0.673527984422465,"cross sectional",0.882079674376157
"1420",0.631822708950687,"cross sectional",0.731773995615792
"1520",0.771905314752596,"cross sectional",0.815202075662884
"821",0.626422295504348,"survival analysis",0.628443694239175
"921",0.740154991034738,"survival analysis",0.746945528083321
"1021",0.623278152134805,"survival analysis",0.625167707915082
"1121",0.808826128998591,"survival analysis",0.818496243934478
"1221",0.911916810023944,"survival analysis",0.92590981306493
"1321",0.673527984422465,"survival analysis",0.677524659877566
"1421",0.631822708950687,"survival analysis",0.634070562519429
"1521",0.771905314752596,"survival analysis",0.78002723399177
"822",0.931806775833166,"cross sectional",0.869843426141349
"922",0.732622949764873,"cross sectional",0.776506979464391
"1022",0.739981496725175,"cross sectional",0.791762165769407
"1122",0.849469983422709,"cross sectional",0.906593997932162
"1222",1.05665039643355,"cross sectional",0.863059115842268
"1322",0.736894523009926,"cross sectional",0.89183836428269
