"","Z.sim","Estimator.type","Z.est"
"1111",0.826983169722983,"survival analysis",0.81960601312333
"1211",1.0539767076717,"survival analysis",1.04906319165601
"1311",1.18666729585642,"survival analysis",1.18319391739316
"1411",0.982756968404272,"survival analysis",0.977070479547042
"1511",0.845079151324647,"survival analysis",0.837898396768344
"812",0.772724733089399,"cross sectional",0.784551423650341
"912",0.759270546587285,"cross sectional",0.755973744198492
"1012",0.643034306170399,"cross sectional",0.695315415764785
"1112",0.903577060471498,"cross sectional",0.632696218739969
"1212",0.833472411307844,"cross sectional",0.585386467423232
"1312",0.749882489049524,"cross sectional",0.667645038660851
"1412",0.808431577629186,"cross sectional",0.770600738466988
"1512",0.90485062794505,"cross sectional",0.839077884810209
"813",0.772724733089399,"survival analysis",0.774377670382542
"913",0.759270546587285,"survival analysis",0.761663175815088
"1013",0.643034306170399,"survival analysis",0.651817437680749
"1113",0.903577060471498,"survival analysis",0.898035923921467
"1213",0.833472411307844,"survival analysis",0.83178552812054
"1313",0.749882489049524,"survival analysis",0.752791260256012
"1413",0.808431577629186,"survival analysis",0.808121403669627
"1513",0.90485062794505,"survival analysis",0.8992394724765
"814",0.92846996387779,"cross sectional",0.774288597634637
"914",0.840927852144232,"cross sectional",0.78105448772811
"1014",0.766347480172238,"cross sectional",0.890822006986411
"1114",0.708513699003675,"cross sectional",0.917825649847846
"1214",0.797763367131635,"cross sectional",0.898420963779227
"1314",0.903154709167296,"cross sectional",0.833168338368108
"1414",0.847827693010776,"cross sectional",0.774016209618944
"1514",1.03343838570521,"cross sectional",0.735502242506767
"815",0.92846996387779,"survival analysis",0.927086205758878
"915",0.840927852144232,"survival analysis",0.839939785010489
"1015",0.766347480172238,"survival analysis",0.765696516865163
"1115",0.708513699003675,"survival analysis",0.70812414481038
"1215",0.797763367131635,"survival analysis",0.796970403785781
"1315",0.903154709167296,"survival analysis",0.901885376184787
"1415",0.847827693010776,"survival analysis",0.846808438545863
"1515",1.03343838570521,"survival analysis",1.03158016955208
"816",0.999077584886626,"cross sectional",1.05908926989957
"916",1.10603403965729,"cross sectional",1.2160228688335
"1016",0.929913214022291,"cross sectional",1.13492383061078
"1116",0.862653801432415,"cross sectional",1.06109319149488
"1216",0.883095453125576,"cross sectional",0.951403695795553
"1316",1.13220692865765,"cross sectional",0.971513053807262
"1416",1.13322378656652,"cross sectional",0.872733108338242
"1516",0.871843408492265,"cross sectional",0.918649633544032
"817",0.999077584886626,"survival analysis",0.996466199729293
"917",1.10603403965729,"survival analysis",1.1067877568662
"1017",0.929913214022291,"survival analysis",0.925125754606004
"1117",0.862653801432415,"survival analysis",0.855750202238087
"1217",0.883095453125576,"survival analysis",0.876834996513247
"1317",1.13220692865765,"survival analysis",1.13378410669364
"1417",1.13322378656652,"survival analysis",1.13483295735098
"1517",0.871843408492265,"survival analysis",0.865228936013368
"818",0.931160160928895,"cross sectional",1.00775308750119
"918",0.797576697678054,"cross sectional",1.04074171382631
"1018",1.03210641803137,"cross sectional",1.02248498522483
"1118",1.02542183239062,"cross sectional",0.930896214044706
"1218",0.856029324716695,"cross sectional",0.902624063966819
"1318",0.760989624527589,"cross sectional",0.916060244973982
"1418",1.13142555073415,"cross sectional",0.908265993391653
"1518",1.07038971699079,"cross sectional",0.902887307950105
"819",0.931160160928895,"survival analysis",0.930886927042807
"919",0.797576697678054,"survival analysis",0.795931718919158
"1019",1.03210641803137,"survival analysis",1.03286978334132
